	SRR16124311	SRR16124312	SRR16124315	SRR16124316	SRR16124319	SRR16124320	SRR16124322	SRR16124323
Bacteroidaceae	24449952	18212789	7258170	7896913	31562964	95497	49332756	32414199
Akkermansiaceae	12174159	2451	1012	946	565	704	1045	2134195
Veillonellaceae	4427605	589377	7708	74612	3085	5265	2901	742239
Unclassified Eubacteriales	3173940	3698228	6415442	22824171	10426686	29410	3680089	10483990
Oscillospiraceae	2481515	3631582	22862842	5832953	3238492	11170	1070397	10306112
Selenomonadaceae	2426520	768481	3199	4996	249603	985	2759025	2819
Lachnospiraceae	1994255	687499	5034878	8744214	1212342	12561	832211	1693731
Unclassified Bacteroidales	1666332	4283631	914730	1258055	5669873	10471	7428178	2736794
Rikenellaceae	1631055	3159251	18017	38612	787785	2501	1176797	11610
Eggerthellaceae	13616	14090	4867782	4412142	39913	218	19668	43755
Lactobacillaceae	1993	1946	18879407	2190567	1458	23313	3393	3695
Prevotellaceae	40395	15864447	22336	2257576	27990	5997	42209	12320
Fusobacteriaceae	44741	7566	1845	4950	105011	3362	202981	4180
Rikenellaceae	1631055	3159251	18017	38612	787785	2501	1176797	11610
Tannerellaceae	1631038	1000784	100777	13788	793839	4318	3564648	3044535
Coriobacteriaceae	18411	42216	12248510	53105	66837	346	38219	8824
