Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR16124168_1	SRR16124168_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35175084.0	0.0	98-150	47.0	69.56223655522851	145.58062007755262	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124168_2	SRR16124168_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35175084.0	0.0	99-150	47.0	70.45351806763655	145.08185873841836	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124169_1	SRR16124169_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32760068.0	0.0	97-150	49.0	69.1413703944249	145.14273242656273	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16124169_2	SRR16124169_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32760068.0	0.0	99-150	49.0	69.74893483058796	144.87291851775154	pass	pass	pass	warn	warn	pass	warn	warn	pass	pass
SRR16124172_1	SRR16124172_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34576223.0	0.0	97-150	48.0	56.70574575651136	145.37468195991215	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124172_2	SRR16124172_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34576223.0	0.0	99-150	48.0	57.51869673011193	145.24018051364374	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124175_1	SRR16124175_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33666565.0	0.0	97-150	46.0	51.28853442630068	146.93740534563	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124175_2	SRR16124175_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33666565.0	0.0	99-150	46.0	52.38986747033497	146.75029662218287	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124177_1	SRR16124177_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36470079.0	0.0	97-150	47.0	70.24426465689973	145.27452002503202	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR16124177_2	SRR16124177_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36470079.0	0.0	99-150	47.0	70.9608020099231	145.19750582388374	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR16124178_1	SRR16124178_1.fastq	Conventional base calls	Sanger / Illumina 1.9	37205212.0	0.0	98-150	48.0	63.584285143117	141.92343954390046	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124178_2	SRR16124178_2.fastq	Conventional base calls	Sanger / Illumina 1.9	37205212.0	0.0	99-150	48.0	63.88919109399082	141.81943067546558	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124179_1	SRR16124179_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34478265.0	0.0	97-150	47.0	59.105251510883015	145.8538624840896	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124179_2	SRR16124179_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34478265.0	0.0	99-150	47.0	60.346168243421324	145.58686830674338	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124180_1	SRR16124180_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34348543.0	0.0	97-150	48.0	66.75235918614524	144.5882526662048	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124180_2	SRR16124180_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34348543.0	0.0	99-150	48.0	67.50979426931264	144.48178579219504	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124181_1	SRR16124181_1.fastq	Conventional base calls	Sanger / Illumina 1.9	34848704.0	0.0	97-150	50.0	76.6375398906958	144.95297684527952	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124181_2	SRR16124181_2.fastq	Conventional base calls	Sanger / Illumina 1.9	34848704.0	0.0	99-150	50.0	77.32599536110448	144.66880139932894	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124222_1	SRR16124222_1.fastq	Conventional base calls	Sanger / Illumina 1.9	26451038.0	0.0	98-150	47.0	72.7950500725937	144.8453650098722	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124222_2	SRR16124222_2.fastq	Conventional base calls	Sanger / Illumina 1.9	26451038.0	0.0	99-150	47.0	73.42400345253888	144.5639889822093	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR16124224_1	SRR16124224_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36748136.0	0.0	98-150	48.0	64.50424187223216	146.21979982875865	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124224_2	SRR16124224_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36748136.0	0.0	99-150	48.0	65.76842226045765	145.68879586164587	pass	pass	pass	warn	pass	pass	warn	warn	pass	pass
SRR16124225_1	SRR16124225_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36093558.0	0.0	97-150	48.0	76.60917920298392	145.0185583255605	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
