Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR16124168_1	30.43776344477149	47.0	145.58062007755262	0.0	35175084.0
SRR16124168_2	29.54648193236345	47.0	145.08185873841836	0.0	35175084.0
SRR16124169_1	30.858629605575103	49.0	145.14273242656273	0.0	32760068.0
SRR16124169_2	30.251065169412044	49.0	144.87291851775154	0.0	32760068.0
SRR16124172_1	43.29425424348864	48.0	145.37468195991215	0.0	34576223.0
SRR16124172_2	42.48130326988807	48.0	145.24018051364374	0.0	34576223.0
SRR16124175_1	48.71146557369932	46.0	146.93740534563	0.0	33666565.0
SRR16124175_2	47.61013252966503	46.0	146.75029662218287	0.0	33666565.0
SRR16124177_1	29.75573534310027	47.0	145.27452002503202	0.0	36470079.0
SRR16124177_2	29.0391979900769	47.0	145.19750582388374	0.0	36470079.0
SRR16124178_1	36.415714856883	48.0	141.92343954390046	0.0	37205212.0
SRR16124178_2	36.11080890600918	48.0	141.81943067546558	0.0	37205212.0
SRR16124179_1	40.894748489116985	47.0	145.8538624840896	0.0	34478265.0
SRR16124179_2	39.653831756578676	47.0	145.58686830674338	0.0	34478265.0
SRR16124180_1	33.24764081385476	48.0	144.5882526662048	0.0	34348543.0
SRR16124180_2	32.490205730687364	48.0	144.48178579219504	0.0	34348543.0
SRR16124181_1	23.362460109304195	50.0	144.95297684527952	0.0	34848704.0
SRR16124181_2	22.674004638895525	50.0	144.66880139932894	0.0	34848704.0
SRR16124222_1	27.204949927406304	47.0	144.8453650098722	0.0	26451038.0
SRR16124222_2	26.575996547461116	47.0	144.5639889822093	0.0	26451038.0
SRR16124224_1	35.49575812776784	48.0	146.21979982875865	0.0	36748136.0
SRR16124224_2	34.231577739542345	48.0	145.68879586164587	0.0	36748136.0
SRR16124225_1	23.390820797016076	48.0	145.0185583255605	0.0	36093558.0
SRR16124225_2	22.90046848075619	48.0	144.83579418798223	0.0	36093558.0
SRR16124226_1	53.04464226757139	51.0	144.80630421511887	10.0	33691363.0
SRR16124226_2	51.82085341059814	51.0	144.51119778086746	10.0	33691363.0
SRR16124229_1	38.16875548812486	48.0	144.61502648750005	0.0	34606890.0
SRR16124229_2	37.738032737894265	48.0	144.49137723730738	0.0	34606890.0
SRR16124231_1	51.453425421514886	47.0	143.82308120768408	10.0	33190369.0
SRR16124231_2	50.96170396235649	47.0	143.81501278277443	20.0	33190369.0
SRR16124234_1	32.1023644878952	49.0	145.67888079354213	0.0	34989648.0
SRR16124234_2	31.31144676167611	49.0	145.48781891146777	0.0	34989648.0
SRR16124263_1	18.916758962867164	50.0	142.66604518460755	0.0	35268382.0
SRR16124263_2	18.403811900324897	50.0	142.37521035129993	0.0	35268382.0
SRR16124269_1	31.189405291320654	45.0	145.9145967570881	0.0	34487215.0
SRR16124269_2	29.609407466882033	45.0	144.94582238664387	0.0	34487215.0
SRR16124271_1	33.14357192629362	46.0	146.9144586324674	0.0	35041841.0
SRR16124271_2	31.703330918805108	46.0	146.02853542997354	0.0	35041841.0
SRR16124273_1	55.133061911356975	48.0	143.0175633207453	10.0	40810164.0
SRR16124273_2	53.64019766765152	48.0	142.5195115118871	10.0	40810164.0
SRR16124276_1	36.03646805535774	48.0	145.6237645271047	0.0	53186011.0
SRR16124276_2	34.35516783642338	48.0	144.6773325790498	0.0	53186011.0
SRR16124280_1	23.03395963401819	49.0	145.27839584706246	0.0	50485710.0
SRR16124280_2	22.021245627861475	49.0	144.4569582957237	0.0	50485710.0
SRR16124285_1	22.208017606112065	49.0	145.26728877087916	0.0	37077925.0
SRR16124285_2	21.309555483601486	49.0	144.65761301367323	0.0	37077925.0
SRR16124287_1	41.74873459337422	47.0	140.53023037332835	10.0	38187537.0
SRR16124287_2	40.960933169231254	47.0	140.09936995936658	10.0	38187537.0
SRR16124311_1	30.562344095675144	50.0	143.28917003049332	0.0	30437805.0
SRR16124311_2	30.092400984765106	50.0	143.19011025926474	0.0	30437805.0
SRR16124312_1	29.754272805456765	48.0	142.9029462446179	0.0	33223650.0
SRR16124312_2	29.083857787509686	48.0	142.66020000812674	0.0	33223650.0
SRR16124315_1	44.22148396418771	48.0	146.80556777351592	10.0	43210522.0
SRR16124315_2	42.23745003978446	49.0	146.06082152860824	10.0	43210522.0
SRR16124316_1	31.10949235147409	46.0	145.83491090771804	10.0	38918186.0
SRR16124316_2	30.159099392129534	46.0	145.52006185488708	10.0	38918186.0
SRR16124319_1	27.065560069819455	48.0	141.77777386372009	10.0	33270389.0
SRR16124319_2	26.670471198358115	48.0	141.7157305855366	10.0	33270389.0
SRR16124320_1	14.702342228624389	45.0	142.86194347406322	10.0	35906278.0
SRR16124320_2	14.36686471019651	45.0	142.4296780078403	10.0	35906278.0
SRR16124322_1	34.84494169094562	46.0	142.88628692787893	0.0	39925357.0
SRR16124322_2	34.26362947264214	46.0	142.6946198627604	0.0	39925357.0
SRR16124323_1	29.29068847687698	48.0	145.1621449927619	0.0	40896138.0
SRR16124323_2	28.768654113364477	48.0	144.94482378751755	0.0	40896138.0
